image_name,ground_truth,bbox
1.jpg,animal,"[5.47008, 974.4170399999999, 162.279168, 72.97300800000001]"
10.jpg,animal,"[1030.19904, 930.63384, 393.84576, 113.1084]"
100.jpg,animal,"[258.73728, 884.95632, 140.35872, 158.82372]"
1000.jpg,animal,"[716.658688, 1158.541824, 172.3144192, 107.2940544]"
1001.jpg,animal,"[535.86944, 1102.070784, 163.84, 104.4705792]"
1002.jpg,animal,"[530.221056, 1087.953408, 166.6648064, 121.41173760000001]"
1003.jpg,animal,"[533.045248, 1093.599744, 166.6648064, 112.94115839999999]"
1004.jpg,animal,"[1219.477504, 1116.1881600000002, 96.0442368, 124.23536639999999]"
1005.jpg,animal,"[685.586432, 1147.2476159999999, 152.5407744, 107.2940544]"
1006.jpg,animal,"[0.0, 1237.599744, 219.488256, 144.0]"
1007.jpg,animal,"[561.293312, 1119.011328, 124.2925056, 81.88231680000001]"
1008.jpg,animal,"[549.994496, 1110.541824, 141.241344, 112.94115839999999]"
1009.jpg,animal,"[547.168256, 1104.893952, 146.8909568, 104.4705792]"
101.jpg,animal,"[0.0, 1037.128704, 256.210944, 149.647104]"
1010.jpg,animal,"[547.168256, 1119.011328, 132.7669248, 79.0588416]"
1011.jpg,animal,"[555.64288, 1099.2476159999999, 169.4896128, 107.2940544]"
1012.jpg,animal,"[591.775744, 1286.618112, 354.7648, 142.16924160000002]"
1013.jpg,animal,"[870.311936, 1253.285376, 361.689088, 176.713728]"
1014.jpg,animal,"[1434.484736, 1249.319424, 448.694272, 166.096896]"
1015.jpg,animal,"[1434.165248, 1240.422912, 454.797312, 169.411584]"
1016.jpg,animal,"[1442.639872, 1243.2476159999999, 457.621504, 169.411584]"
1017.jpg,animal,"[118.5953792, 1211.801088, 403.32288, 135.96595200000002]"
1018.jpg,animal,"[0.0, 1189.599744, 237.285376, 144.0]"
1019.jpg,animal,"[643.213312, 1198.070784, 124.2925056, 163.765248]"
102.jpg,animal,"[395.35616, 1017.429504, 376.793088, 219.419136]"
1020.jpg,animal,"[640.38912, 1203.71712, 124.2925056, 152.4705792]"
1021.jpg,animal,"[948.293632, 1234.776576, 112.9930752, 135.5294208]"
1022.jpg,animal,"[640.38912, 1260.1881600000002, 121.4674944, 104.4705792]"
1023.jpg,animal,"[961.716224, 1220.2659840000001, 179.16928, 149.25680640000002]"
1024.jpg,animal,"[1668.626432, 1251.71712, 379.373568, 200.47104]"
1025.jpg,animal,"[295.759872, 850.776576, 129.9421184, 96.0]"
1026.jpg,animal,"[1103.661056, 1186.776576, 161.0151936, 135.5294208]"
1027.jpg,animal,"[1156.114432, 1163.440128, 103.4057728, 120.02903040000001]"
1028.jpg,animal,"[1066.950656, 1215.6119039999999, 169.1113472, 95.3739264]"
1029.jpg,animal,"[1177.106432, 1299.71712, 251.410432, 208.94054400000002]"
103.jpg,animal,"[872.024064, 1031.482368, 341.805056, 194.823168]"
1030.jpg,animal,"[1140.383744, 1330.776576, 288.13312, 175.059456]"
1031.jpg,animal,"[1151.68256, 1265.834496, 378.527744, 231.52896]"
1032.jpg,animal,"[516.096, 1113.364992, 135.5917312, 101.647104]"
